Cboe Volume and Put/Call Ratio data is provided for informational purposes only. The volume data reflected below may be based upon preliminary reported volume rather than cleared volume. Cboe makes no guarantee as to the accuracy of the data. Your use of Cboe Volume and Put/Call Ratio data is subject to the�Terms and Conditions�of the Cboe Websites.,,,,
Index P/C Ratios,,,,
Trade_date,Call,Put,Total,P/C Ratio
2/26/2004,107614,143869,251483,1.34
2/27/2004,96090,134628,230718,1.4
3/1/2004,125511,157738,283249,1.26
3/2/2004,102285,190216,292501,1.86
3/3/2004,111688,138406,250094,1.24
3/4/2004,122186,149181,271367,1.22
3/5/2004,140029,210313,350342,1.5
3/8/2004,122022,202696,324718,1.66
3/9/2004,193309,256685,449994,1.33
3/10/2004,246283,349459,595742,1.42
3/11/2004,235514,451181,686695,1.92
3/12/2004,194511,331355,525866,1.7
3/15/2004,201129,321431,522560,1.6
3/16/2004,241657,325578,567235,1.35
3/17/2004,280068,324325,604393,1.16
3/18/2004,269193,307298,576491,1.14
3/19/2004,175617,281549,457166,1.6
3/22/2004,208274,349929,558203,1.68
3/23/2004,177945,188525,366470,1.06
3/24/2004,147460,209965,357425,1.42
3/25/2004,160446,190647,351093,1.19
3/26/2004,101358,148087,249445,1.46
3/29/2004,144087,208663,352750,1.45
3/30/2004,103965,150896,254861,1.45
3/31/2004,113987,258635,372622,2.27
4/1/2004,185616,206067,391683,1.11
4/2/2004,158380,256449,414829,1.62
4/5/2004,161039,247854,408893,1.54
4/6/2004,118809,186971,305780,1.57
4/7/2004,120460,183065,303525,1.52
4/8/2004,125670,178637,304307,1.42
4/12/2004,98129,177378,275507,1.81
4/13/2004,197213,274188,471401,1.39
4/14/2004,224969,319518,544487,1.42
4/15/2004,248265,339585,587850,1.37
4/16/2004,177220,298987,476207,1.69
4/19/2004,123797,152500,276297,1.23
4/20/2004,133901,195846,329747,1.46
4/21/2004,133999,184088,318087,1.37
4/22/2004,176969,187207,364176,1.06
4/23/2004,100463,116461,216924,1.16
4/26/2004,71412,114369,185781,1.6
4/27/2004,103353,186257,289610,1.8
4/28/2004,114503,266791,381294,2.33
4/29/2004,133169,284011,417180,2.13
4/30/2004,112584,162625,275209,1.44
5/3/2004,99544,170212,269756,1.71
5/4/2004,115321,175945,291266,1.53
5/5/2004,95147,186567,281714,1.96
5/6/2004,143902,297406,441308,2.07
5/7/2004,155003,274538,429541,1.77
5/10/2004,231241,557835,789076,2.41
5/11/2004,195763,329273,525036,1.68
5/12/2004,256292,391376,647668,1.53
5/13/2004,145455,274349,419804,1.89
5/14/2004,131119,189060,320179,1.44
5/17/2004,180113,335932,516045,1.87
5/18/2004,152590,286542,439132,1.88
5/19/2004,246368,366489,612857,1.49
5/20/2004,209719,337465,547184,1.61
5/21/2004,207021,439191,646212,2.12
5/24/2004,129005,179341,308346,1.39
5/25/2004,180024,300188,480212,1.67
5/26/2004,98810,241880,340690,2.45
5/27/2004,135738,287841,423579,2.12
5/28/2004,63203,179147,242350,2.83
6/1/2004,77598,161572,239170,2.08
6/2/2004,118708,233978,352686,1.97
6/3/2004,110363,175184,285547,1.59
6/4/2004,145739,229548,375287,1.58
6/7/2004,228976,310122,539098,1.35
6/8/2004,160203,230350,390553,1.44
6/9/2004,113625,192256,305881,1.69
6/10/2004,121969,192477,314446,1.58
6/14/2004,173871,277058,450929,1.59
6/15/2004,201844,240916,442760,1.19
6/16/2004,246768,253031,499799,1.03
6/17/2004,213372,263177,476549,1.23
6/18/2004,187987,334500,522487,1.78
6/21/2004,119745,212622,332367,1.78
6/22/2004,137246,188053,325299,1.37
6/23/2004,117472,257814,375286,2.19
6/24/2004,162232,230245,392477,1.42
6/25/2004,90593,112563,203156,1.24
6/28/2004,102158,142896,245054,1.4
6/29/2004,88133,124967,213100,1.42
6/30/2004,136735,130859,267594,0.96
7/1/2004,159981,257784,417765,1.61
7/2/2004,100185,126743,226928,1.27
7/6/2004,155476,206298,361774,1.33
7/7/2004,122204,163168,285372,1.34
7/8/2004,150572,190358,340930,1.26
7/9/2004,145615,142263,287878,0.98
7/12/2004,136586,267356,403942,1.96
7/13/2004,121540,179285,300825,1.48
7/14/2004,238398,349881,588279,1.47
7/15/2004,226114,335510,561624,1.48
7/16/2004,190255,365652,555907,1.92
7/19/2004,165472,201310,366782,1.22
7/20/2004,137755,145329,283084,1.05
7/21/2004,134003,219660,353663,1.64
7/22/2004,189230,283335,472565,1.5
7/23/2004,93137,162636,255773,1.75
7/26/2004,133144,165168,298312,1.24
7/27/2004,149050,205662,354712,1.38
7/28/2004,121034,165841,286875,1.37
7/29/2004,124298,129612,253910,1.04
7/30/2004,79932,96680,176612,1.21
8/2/2004,91459,121052,212511,1.32
8/3/2004,92669,143337,236006,1.55
8/4/2004,124643,198685,323328,1.59
8/5/2004,148347,203311,351658,1.37
8/6/2004,217898,358900,576798,1.65
8/9/2004,172500,186256,358756,1.08
8/10/2004,186412,247387,433799,1.33
8/11/2004,180287,265636,445923,1.47
8/12/2004,152181,200688,352869,1.32
8/13/2004,156588,271007,427595,1.73
8/16/2004,162962,222226,385188,1.36
8/17/2004,174285,307727,482012,1.77
8/18/2004,265396,348406,613802,1.31
8/19/2004,249816,310160,559976,1.24
8/20/2004,264520,434522,699042,1.64
8/23/2004,128673,145242,273915,1.13
8/24/2004,106750,175543,282293,1.64
8/25/2004,127898,187245,315143,1.46
8/26/2004,121148,163594,284742,1.35
8/27/2004,114941,173084,288025,1.51
8/30/2004,89541,133127,222668,1.49
8/31/2004,152270,154417,306687,1.01
9/1/2004,83176,183111,266287,2.2
9/2/2004,132851,200450,333301,1.51
9/3/2004,129296,211892,341188,1.64
9/7/2004,172676,215778,388454,1.25
9/8/2004,85196,194854,280050,2.29
9/9/2004,132513,209903,342416,1.58
9/10/2004,115043,257845,372888,2.24
9/13/2004,240560,250916,491476,1.04
9/14/2004,208389,336928,545317,1.62
9/15/2004,172878,340886,513764,1.97
9/16/2004,217563,241747,459310,1.11
9/17/2004,163534,265956,429490,1.63
9/20/2004,148779,360944,509723,2.43
9/21/2004,161678,147346,309024,0.91
9/22/2004,128422,212719,341141,1.66
9/23/2004,122972,162084,285056,1.32
9/24/2004,93302,129702,223004,1.39
9/27/2004,104224,188752,292976,1.81
9/28/2004,168810,187821,356631,1.11
9/29/2004,86715,201309,288024,2.32
9/30/2004,97931,160483,258414,1.64
10/1/2004,206943,340094,547037,1.64
10/4/2004,158907,290410,449317,1.83
10/5/2004,108574,211265,319839,1.95
10/6/2004,128651,189368,318019,1.47
10/7/2004,180204,226204,406408,1.26
10/8/2004,173786,278099,451885,1.6
10/11/2004,102860,162974,265834,1.58
10/12/2004,203414,260896,464310,1.28
10/13/2004,331277,536806,868083,1.62
10/14/2004,287591,455340,742931,1.58
10/15/2004,286332,354698,641030,1.24
10/18/2004,158344,165827,324171,1.05
10/19/2004,127216,177211,304427,1.39
10/20/2004,184433,173917,358350,0.94
10/21/2004,94727,127659,222386,1.35
10/22/2004,172332,170902,343234,0.99
10/25/2004,128873,149352,278225,1.16
10/26/2004,135504,159728,295232,1.18
10/27/2004,187308,222238,409546,1.19
10/28/2004,173340,200469,373809,1.16
10/29/2004,138469,183028,321497,1.32
11/1/2004,123686,190478,314164,1.54
11/2/2004,156409,274779,431188,1.76
11/3/2004,244595,347628,592223,1.42
11/4/2004,309639,440633,750272,1.42
11/5/2004,258948,341022,599970,1.32
11/8/2004,126362,184580,310942,1.46
11/9/2004,121354,194357,315711,1.6
11/10/2004,145580,194918,340498,1.34
11/11/2004,203456,286240,489696,1.41
11/12/2004,277970,320979,598949,1.15
11/15/2004,248388,299343,547731,1.21
11/16/2004,205652,239438,445090,1.16
11/17/2004,395108,403728,798836,1.02
11/18/2004,250102,271268,521370,1.08
11/19/2004,195536,494864,690400,2.53
11/22/2004,124644,233801,358445,1.88
11/23/2004,125609,194546,320155,1.55
11/24/2004,90428,127717,218145,1.41
11/26/2004,42547,74925,117472,1.76
11/29/2004,131485,241700,373185,1.84
11/30/2004,117087,196913,314000,1.68
12/1/2004,182280,294139,476419,1.61
12/2/2004,160955,261361,422316,1.62
12/3/2004,165716,265368,431084,1.6
12/6/2004,143152,205639,348791,1.44
12/7/2004,167941,251054,418995,1.49
12/8/2004,146636,264404,411040,1.8
12/9/2004,233017,233628,466645,1
12/10/2004,130910,175685,306595,1.34
12/13/2004,178545,270873,449418,1.52
12/14/2004,236615,301804,538419,1.28
12/15/2004,212594,311712,524306,1.47
12/16/2004,266536,404275,670811,1.52
12/17/2004,238402,501301,739703,2.1
12/20/2004,100513,176406,276919,1.76
12/21/2004,141297,289787,431084,2.05
12/22/2004,110827,236564,347391,2.13
12/23/2004,74528,163573,238101,2.19
12/27/2004,93855,139657,233512,1.49
12/28/2004,89007,160311,249318,1.8
12/29/2004,63081,221471,284552,3.51
12/30/2004,96476,178563,275039,1.85
12/31/2004,71945,121038,192983,1.68
1/3/2005,122733,230053,352786,1.87
1/4/2005,248459,336179,584638,1.35
1/5/2005,190498,333445,523943,1.75
1/6/2005,125470,181103,306573,1.44
1/7/2005,202075,323120,525195,1.6
1/10/2005,165991,235400,401391,1.42
1/11/2005,155853,277011,432864,1.78
1/12/2005,200456,345339,545795,1.72
1/13/2005,180982,314877,495859,1.74
1/14/2005,194912,232747,427659,1.19
1/18/2005,346499,443370,789869,1.28
1/19/2005,247474,305725,553199,1.24
1/20/2005,364890,538952,903842,1.48
1/21/2005,258286,492131,750417,1.91
1/24/2005,241873,286259,528132,1.18
1/25/2005,208244,313158,521402,1.5
1/26/2005,152420,308223,460643,2.02
1/27/2005,189782,349000,538782,1.84
1/28/2005,251289,299732,551021,1.19
1/31/2005,187597,274099,461696,1.46
2/1/2005,247015,468356,715371,1.9
2/2/2005,198786,300370,499156,1.51
2/3/2005,221208,311172,532380,1.41
2/4/2005,221337,365080,586417,1.65
2/7/2005,141044,271017,412061,1.92
2/8/2005,158366,278861,437227,1.76
2/9/2005,193486,328692,522178,1.7
2/10/2005,159064,297385,456449,1.87
2/11/2005,227659,327457,555116,1.44
2/14/2005,149034,258405,407439,1.73
2/15/2005,272488,381787,654275,1.4
2/16/2005,430030,468177,898207,1.09
2/17/2005,354637,522500,877137,1.47
2/18/2005,281100,493503,774603,1.76
2/22/2005,339727,494782,834509,1.46
2/23/2005,151095,295999,447094,1.96
2/24/2005,154164,300087,454251,1.95
2/25/2005,260830,344400,605230,1.32
2/28/2005,153821,208446,362267,1.36
3/1/2005,141978,253475,395453,1.79
3/2/2005,224008,312469,536477,1.39
3/3/2005,181214,251206,432420,1.39
3/4/2005,280136,366736,646872,1.31
3/7/2005,233139,322637,555776,1.38
3/8/2005,155322,251606,406928,1.62
3/9/2005,199383,378943,578326,1.9
3/10/2005,192564,419142,611706,2.18
3/11/2005,209980,412988,622968,1.97
3/14/2005,199374,398208,597582,2
3/15/2005,359049,505223,864272,1.41
3/16/2005,451740,635177,1086917,1.41
3/17/2005,320348,631351,951699,1.97
3/18/2005,284442,838114,1122556,2.95
3/21/2005,245089,305143,550232,1.25
3/22/2005,239401,387659,627060,1.62
3/23/2005,294108,476641,770749,1.62
3/24/2005,155189,316520,471709,2.04
3/28/2005,125048,178939,303987,1.43
3/29/2005,336889,500589,837478,1.49
3/30/2005,273153,382051,655204,1.4
3/31/2005,241457,267831,509288,1.11
4/1/2005,268459,430899,699358,1.61
4/4/2005,176629,269939,446568,1.53
4/5/2005,232378,344930,577308,1.48
4/6/2005,278445,382866,661311,1.38
4/7/2005,279984,296354,576338,1.06
4/8/2005,244554,446083,690637,1.82
4/11/2005,177567,357383,534950,2.01
4/12/2005,403165,820737,1223902,2.04
4/13/2005,399067,611728,1010795,1.53
4/14/2005,527839,913296,1441135,1.73
4/15/2005,600220,1301871,1902091,2.17
4/18/2005,437391,692683,1130074,1.58
4/19/2005,264994,553894,818888,2.09
4/20/2005,293666,550431,844097,1.87
4/21/2005,463734,595364,1059098,1.28
4/22/2005,214169,406591,620760,1.9
4/25/2005,182831,221581,404412,1.21
4/26/2005,261231,246300,507531,0.94
4/27/2005,227361,407354,634715,1.79
4/28/2005,224927,445129,670056,1.98
4/29/2005,246291,407522,653813,1.65
5/2/2005,162655,289070,451725,1.78
5/3/2005,155551,265864,421415,1.71
5/4/2005,298178,392830,691008,1.32
5/5/2005,209667,447985,657652,2.14
5/6/2005,200445,335495,535940,1.67
5/9/2005,175552,245469,421021,1.4
5/10/2005,239690,412929,652619,1.72
5/11/2005,207636,372880,580516,1.8
5/12/2005,288929,522427,811356,1.81
5/13/2005,342772,540387,883159,1.58
5/16/2005,319621,415720,735341,1.3
5/17/2005,287204,478338,765542,1.67
5/18/2005,647198,777596,1424794,1.2
5/19/2005,574471,636081,1210552,1.11
5/20/2005,346654,771643,1118297,2.23
5/23/2005,224195,404149,628344,1.8
5/24/2005,206145,272180,478325,1.32
5/25/2005,171727,367945,539672,2.14
5/26/2005,252389,356375,608764,1.41
5/27/2005,119670,192551,312221,1.61
5/31/2005,156597,294486,451083,1.88
6/1/2005,424535,377100,801635,0.89
6/2/2005,170134,303612,473746,1.78
6/3/2005,221996,422023,644019,1.9
6/6/2005,185719,357541,543260,1.93
6/7/2005,370701,527032,897733,1.42
6/8/2005,188748,334076,522824,1.77
6/9/2005,212862,424370,637232,1.99
6/10/2005,194957,302214,497171,1.55
6/13/2005,266417,386719,653136,1.45
6/14/2005,296784,421567,718351,1.42
6/15/2005,409920,599245,1009165,1.46
6/16/2005,783694,672470,1456164,0.86
6/17/2005,517354,1000160,1517514,1.93
6/20/2005,193849,451378,645227,2.33
6/21/2005,124606,343152,467758,2.75
6/22/2005,259120,440895,700015,1.7
6/23/2005,227564,417103,644667,1.83
6/24/2005,267587,402033,669620,1.5
6/27/2005,194613,355450,550063,1.83
6/28/2005,246388,317500,563888,1.29
6/29/2005,159852,222581,382433,1.39
6/30/2005,336026,412903,748929,1.23
7/1/2005,162630,341447,504077,2.1
7/5/2005,235675,272699,508374,1.16
7/6/2005,236184,589303,825487,2.5
7/7/2005,329344,632695,962039,1.92
7/8/2005,371726,587091,958817,1.58
7/11/2005,330022,508662,838684,1.54
7/12/2005,330371,505910,836281,1.53
7/13/2005,306835,384719,691554,1.25
7/14/2005,547802,696581,1244383,1.27
7/15/2005,471200,560184,1031384,1.19
7/18/2005,196155,567573,763728,2.89
7/19/2005,292909,434139,727048,1.48
7/20/2005,310401,609771,920172,1.96
7/21/2005,235159,541263,776422,2.3
7/22/2005,129671,255535,385206,1.97
7/25/2005,107997,213640,321637,1.98
7/26/2005,163873,320147,484020,1.95
7/27/2005,197344,304475,501819,1.54
7/28/2005,219227,335556,554783,1.53
7/29/2005,308037,509036,817073,1.65
8/1/2005,152603,324836,477439,2.13
8/2/2005,186444,367793,554237,1.97
8/3/2005,187941,394205,582146,2.1
8/4/2005,196558,465313,661871,2.37
8/5/2005,234085,647701,881786,2.77
8/8/2005,253850,419547,673397,1.65
8/9/2005,201346,366422,567768,1.82
8/10/2005,406720,571539,978259,1.41
8/11/2005,187736,379713,567449,2.02
8/12/2005,271482,760051,1031533,2.8
8/15/2005,377850,311901,689751,0.83
8/16/2005,345785,633739,979524,1.83
8/17/2005,360052,751942,1111994,2.09
8/18/2005,390233,690528,1080761,1.77
8/19/2005,559930,954159,1514089,1.7
8/22/2005,344721,518163,862884,1.5
8/23/2005,185112,441623,626735,2.39
8/24/2005,228374,332400,560774,1.46
8/25/2005,167718,331795,499513,1.98
8/26/2005,219399,436928,656327,1.99
8/29/2005,224250,456594,680844,2.04
8/30/2005,232960,487188,720148,2.09
8/31/2005,296620,468081,764701,1.58
9/1/2005,261677,464317,725994,1.77
9/2/2005,149400,449080,598480,3.01
9/6/2005,284528,436493,721021,1.53
9/7/2005,236343,412626,648969,1.75
9/8/2005,194082,341379,535461,1.76
9/9/2005,244223,391302,635525,1.6
9/12/2005,395147,556064,951211,1.41
9/13/2005,393230,611207,1004437,1.55
9/14/2005,375672,515842,891514,1.37
9/15/2005,611127,642098,1253225,1.05
9/16/2005,606716,788855,1395571,1.3
9/19/2005,208453,529284,737737,2.54
9/20/2005,268101,569285,837386,2.12
9/21/2005,301615,728655,1030270,2.42
9/22/2005,278524,1084438,1362962,3.89
9/23/2005,226646,422995,649641,1.87
9/26/2005,219945,720377,940322,3.28
9/27/2005,140138,238738,378876,1.7
9/28/2005,243131,301987,545118,1.24
9/29/2005,255211,357419,612630,1.4
9/30/2005,223359,386637,609996,1.73
10/3/2005,180050,346735,526785,1.93
10/4/2005,202952,326622,529574,1.61
10/5/2005,416436,653645,1070081,1.57
10/6/2005,585598,1074908,1660506,1.84
10/7/2005,304098,510436,814534,1.68
10/10/2005,219447,395487,614934,1.8
10/11/2005,306263,782065,1088328,2.55
10/12/2005,428062,1055398,1483460,2.47
10/13/2005,405919,917589,1323508,2.26
10/14/2005,387655,640110,1027765,1.65
10/17/2005,305267,450535,755802,1.48
10/18/2005,312351,507220,819571,1.62
10/19/2005,560692,919364,1480056,1.64
10/20/2005,623376,949927,1573303,1.52
10/21/2005,624779,1028479,1653258,1.65
10/24/2005,468138,518512,986650,1.11
10/25/2005,279830,484949,764779,1.73
10/26/2005,246822,496446,743268,2.01
10/27/2005,261978,665484,927462,2.54
10/28/2005,306426,367321,673747,1.2
10/31/2005,385380,652143,1037523,1.69
11/1/2005,225174,397388,622562,1.76
11/2/2005,397974,503191,901165,1.26
11/3/2005,391117,799388,1190505,2.04
11/4/2005,230345,472010,702355,2.05
11/7/2005,236539,299182,535721,1.26
11/8/2005,316997,289340,606337,0.91
11/9/2005,360954,468626,829580,1.3
11/10/2005,393182,434003,827185,1.1
11/11/2005,300939,338724,639663,1.13
11/14/2005,311114,494039,805153,1.59
11/15/2005,371897,401889,773786,1.08
11/16/2005,415118,491025,906143,1.18
11/17/2005,787007,665821,1452828,0.85
11/18/2005,826626,710041,1536667,0.86
11/21/2005,468847,559888,1028735,1.19
11/22/2005,407839,881201,1289040,2.16
11/23/2005,487180,589045,1076225,1.21
11/25/2005,131792,209430,341222,1.59
11/28/2005,250621,513218,763839,2.05
11/29/2005,256469,607692,864161,2.37
11/30/2005,220328,343714,564042,1.56
12/1/2005,348374,546624,894998,1.57
12/2/2005,257533,424805,682338,1.65
12/5/2005,198929,342235,541164,1.72
12/6/2005,391852,416117,807969,1.06
12/7/2005,440211,496739,936950,1.13
12/8/2005,260672,518049,778721,1.99
12/9/2005,268489,367249,635738,1.37
12/12/2005,302447,257257,559704,0.85
12/13/2005,439281,364472,803753,0.83
12/14/2005,624104,533586,1157690,0.85
12/15/2005,1459346,601399,2060745,0.41
12/16/2005,724233,922834,1647067,1.27
12/19/2005,412855,761778,1174633,1.85
12/20/2005,235094,556070,791164,2.37
12/21/2005,444637,319636,764273,0.72
12/22/2005,133002,223764,356766,1.68
12/23/2005,117876,163935,281811,1.39
12/27/2005,183316,330232,513548,1.8
12/28/2005,134598,253359,387957,1.88
12/29/2005,146923,275020,421943,1.87
12/30/2005,265986,368946,634932,1.39
1/3/2006,328668,431518,760186,1.31
1/4/2006,363336,495209,858545,1.36
1/5/2006,251411,319562,570973,1.27
1/6/2006,514084,449150,963234,0.87
1/9/2006,427611,559470,987081,1.31
1/10/2006,342865,419292,762157,1.22
1/11/2006,478026,427115,905141,0.89
1/12/2006,298732,430055,728787,1.44
1/13/2006,207211,339386,546597,1.64
1/17/2006,338903,543022,881925,1.6
1/18/2006,489424,762329,1251753,1.56
1/19/2006,615335,1009627,1624962,1.64
1/20/2006,830225,1589563,2419788,1.91
1/23/2006,472795,764531,1237326,1.62
1/24/2006,299081,503003,802084,1.68
1/25/2006,322501,560647,883148,1.74
1/26/2006,306852,390961,697813,1.27
1/27/2006,389205,563103,952308,1.45
1/30/2006,129146,315027,444173,2.44
1/31/2006,203699,455279,658978,2.24
2/1/2006,187888,500767,688655,2.67
2/2/2006,233868,504163,738031,2.16
2/3/2006,233673,584543,818216,2.5
2/6/2006,155521,243355,398876,1.56
2/7/2006,336072,568299,904371,1.69
2/8/2006,273971,382114,656085,1.39
2/9/2006,337693,518023,855716,1.53
2/10/2006,510226,440287,950513,0.86
2/13/2006,258333,530801,789134,2.05
2/14/2006,434826,591633,1026459,1.36
2/15/2006,697872,643698,1341570,0.92
2/16/2006,736591,652776,1389367,0.89
2/17/2006,732437,993398,1725835,1.36
2/21/2006,324625,663809,988434,2.04
2/22/2006,356937,463856,820793,1.3
2/23/2006,259346,438267,697613,1.69
2/24/2006,191647,395903,587550,2.07
2/27/2006,324377,356662,681039,1.1
2/28/2006,352795,644695,997490,1.83
3/1/2006,258974,301634,560608,1.16
3/2/2006,217785,511755,729540,2.35
3/3/2006,310847,439559,750406,1.41
3/6/2006,224244,433048,657292,1.93
3/7/2006,400239,651263,1051502,1.63
3/8/2006,281720,608716,890436,2.16
3/9/2006,209478,383603,593081,1.83
3/10/2006,272998,551111,824109,2.02
3/13/2006,276133,407535,683668,1.48
3/14/2006,426182,547814,973996,1.29
3/15/2006,509029,484009,993038,0.95
3/16/2006,3236306,782957,4019263,0.24
3/17/2006,830094,872446,1702540,1.05
3/20/2006,269294,615027,884321,2.28
3/21/2006,288399,587655,876054,2.04
3/22/2006,237613,524410,762023,2.21
3/23/2006,199291,274060,473351,1.38
3/24/2006,240314,373104,613418,1.55
3/27/2006,177410,361205,538615,2.04
3/28/2006,271047,635222,906269,2.34
3/29/2006,338000,412452,750452,1.22
3/30/2006,209305,497231,706536,2.38
3/31/2006,207308,348310,555618,1.68
4/3/2006,248950,367617,616567,1.48
4/4/2006,220649,434885,655534,1.97
4/5/2006,225237,393991,619228,1.75
4/6/2006,325628,464128,789756,1.43
4/7/2006,332960,610146,943106,1.83
4/10/2006,286322,398600,684922,1.39
4/11/2006,422658,764461,1187119,1.81
4/12/2006,258499,412521,671020,1.6
4/13/2006,295026,427631,722657,1.45
4/17/2006,298863,493123,791986,1.65
4/18/2006,616162,700894,1317056,1.14
4/19/2006,434015,661894,1095909,1.53
4/20/2006,521371,792844,1314215,1.52
4/21/2006,767388,1267613,2035001,1.65
4/24/2006,307704,565397,873101,1.84
4/25/2006,313070,687781,1000851,2.2
4/26/2006,237930,560108,798038,2.35
4/27/2006,472834,581928,1054762,1.23
4/28/2006,327016,553647,880663,1.69
5/1/2006,323370,621324,944694,1.92
5/2/2006,240853,463141,703994,1.92
5/3/2006,263414,514037,777451,1.95
5/4/2006,316773,358534,675307,1.13
5/5/2006,403421,694592,1098013,1.72
5/8/2006,277581,558437,836018,2.01
5/9/2006,324509,487714,812223,1.5
5/10/2006,434792,582574,1017366,1.34
5/11/2006,729652,1074243,1803895,1.47
5/12/2006,738194,1550698,2288892,2.1
5/15/2006,555501,1346831,1902332,2.42
5/16/2006,425137,865914,1291051,2.04
5/17/2006,905564,2213372,3118936,2.44
5/18/2006,869947,1578914,2448861,1.81
5/19/2006,1107754,2155146,3262900,1.95
5/22/2006,616390,1473375,2089765,2.39
5/23/2006,430178,1040822,1471000,2.42
5/24/2006,486743,1478435,1965178,3.04
5/25/2006,481787,875653,1357440,1.82
5/26/2006,430264,550644,980908,1.28
5/30/2006,304950,773505,1078455,2.54
5/31/2006,439933,701821,1141754,1.6
6/1/2006,408481,751440,1159921,1.84
6/2/2006,376025,781192,1157217,2.08
6/5/2006,499128,851255,1350383,1.71
6/6/2006,716292,960109,1676401,1.34
6/7/2006,391932,900997,1292929,2.3
6/8/2006,899642,1848755,2748397,2.05
6/9/2006,513519,833739,1347258,1.62
6/12/2006,640684,1006497,1647181,1.57
6/13/2006,966989,1927373,2894362,1.99
6/14/2006,1175595,1627560,2803155,1.38
6/15/2006,1187848,1406046,2593894,1.18
6/16/2006,500825,1177859,1678684,2.35
6/19/2006,541695,1051478,1593173,1.94
6/20/2006,527179,664991,1192170,1.26
6/21/2006,490278,754786,1245064,1.54
6/22/2006,290823,542813,833636,1.87
6/23/2006,244809,484438,729247,1.98
6/26/2006,224276,264066,488342,1.18
