campaign_id,variant_id,symbol,timeframe,test_run_id,decision,passed,terminal_stage,terminal_status,failure_reason,source_config_path,effective_config_path,output_dir,dataset_id,core_status,core_expected_combinations,core_total_combinations,core_number_passing_benchmark,core_percentage_passing_benchmark,core_profitable_iterations,core_percentage_profitable_iterations,core_apex_rule_violating_iterations,core_top_net_profit,core_top_profit_factor,core_top_mar,core_top_trades_per_year,core_top_total_trades,core_top_failure_reason,limited_monkey_status,wfa_status,wfa_oos_net_profit,wfa_oos_profit_factor,wfa_oos_mar,wfa_oos_trades_per_year,wfa_oos_monte_carlo_status,mc_probability_profit_before_drawdown,mc_probability_account_breach,mc_probability_payout_eligible,fixed_config_core_trade_log
es_daily_time_series_momentum,twenty_day_trend_1000_two_sided,ES,5m,tp_min_rr_rescue1,FAIL,False,limited_core_grid_test,failed,limited_core_grid_test failed: summary.percentage_profitable_iterations=0.0 expected {'min': 0.7},campaigns/es_daily_time_series_momentum/rescue_attempts/tp_min_rr_floor_rescue_1/twenty_day_trend_1000_two_sided/config.yaml,backtest-campaigns/es_daily_time_series_momentum/twenty_day_trend_1000_two_sided/ES/tp_min_rr_rescue1/effective_config.yaml,backtest-campaigns/es_daily_time_series_momentum/twenty_day_trend_1000_two_sided/ES/tp_min_rr_rescue1,es_sierra_trade_orderflow_1m_20101214_20260610_full_rth_ny,failed,54,54,0,0.0,0,0.0,0,-9008.75,0.6506882512601784,-0.660617883245389,230.35653409090907,333,min_total_net_profit;max_consecutive_losses,skipped,skipped,,,,,skipped,,,,backtest-campaigns/es_daily_time_series_momentum/twenty_day_trend_1000_two_sided/ES/tp_min_rr_rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_day_of_week_seasonality,monday_open_weekend_short_0935,ES,5m,tp_min_rr_rescue1,FAIL,False,limited_core_grid_test,failed,limited_core_grid_test failed: summary.percentage_profitable_iterations=0.1111111111111111 expected {'min': 0.7},campaigns/es_day_of_week_seasonality/rescue_attempts/tp_min_rr_floor_rescue_1/monday_open_weekend_short_0935/config.yaml,backtest-campaigns/es_day_of_week_seasonality/monday_open_weekend_short_0935/ES/tp_min_rr_rescue1/effective_config.yaml,backtest-campaigns/es_day_of_week_seasonality/monday_open_weekend_short_0935/ES/tp_min_rr_rescue1,es_sierra_trade_orderflow_1m_20101214_20260610_full_rth_ny,failed,9,9,0,0.0,1,0.1111111111111111,0,349.375,1.0350338430684383,0.08506038917571514,44.80182058584216,67,max_best_day_concentration,skipped,skipped,,,,,skipped,,,,backtest-campaigns/es_day_of_week_seasonality/monday_open_weekend_short_0935/ES/tp_min_rr_rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_dollar_risk_appetite_intraday,dollar_up_risk_off_short_1000,ES,1m,tp_min_rr_rescue1,FAIL,False,limited_core_grid_test,failed,limited_core_grid_test failed: summary.percentage_profitable_iterations=0.0 expected {'min': 0.7},campaigns/es_dollar_risk_appetite_intraday/rescue_attempts/tp_min_rr_floor_rescue_1/dollar_up_risk_off_short_1000/config.yaml,backtest-campaigns/es_dollar_risk_appetite_intraday/dollar_up_risk_off_short_1000/ES/tp_min_rr_rescue1/effective_config.yaml,backtest-campaigns/es_dollar_risk_appetite_intraday/dollar_up_risk_off_short_1000/ES/tp_min_rr_rescue1,es_sierra_trade_orderflow_1m_20101214_20260610_full_rth_ny,failed,9,9,0,0.0,0,0.0,0,-3722.5,0.7463373083475298,-0.5916810899143116,108.01167315175098,152,min_total_net_profit,skipped,skipped,,,,,skipped,,,,backtest-campaigns/es_dollar_risk_appetite_intraday/dollar_up_risk_off_short_1000/ES/tp_min_rr_rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_ema_pullback_orderflow_continuation,lunch_signed_two_sided_ema_pullback_1300,ES,5m,tp_min_rr_rescue1,FAIL,False,limited_core_grid_test,failed,limited_core_grid_test failed: summary.percentage_profitable_iterations=0.0 expected {'min': 0.7},campaigns/es_ema_pullback_orderflow_continuation/rescue_attempts/tp_min_rr_floor_rescue_1/lunch_signed_two_sided_ema_pullback_1300/config.yaml,backtest-campaigns/es_ema_pullback_orderflow_continuation/lunch_signed_two_sided_ema_pullback_1300/ES/tp_min_rr_rescue1/effective_config.yaml,backtest-campaigns/es_ema_pullback_orderflow_continuation/lunch_signed_two_sided_ema_pullback_1300/ES/tp_min_rr_rescue1,es_sierra_trade_orderflow_1m_20101214_20260610_full_rth_ny,failed,54,54,0,0.0,0,0.0,0,-1498.75,0.891962515768607,-0.23515178764775058,89.33056922346829,136,min_total_net_profit,skipped,skipped,,,,,skipped,,,,backtest-campaigns/es_ema_pullback_orderflow_continuation/lunch_signed_two_sided_ema_pullback_1300/ES/tp_min_rr_rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_epu_policy_uncertainty_intraday,low_epu_long_1030,ES,1m,tp_min_rr_rescue1,FAIL,False,limited_core_grid_test,failed,limited_core_grid_test failed: summary.percentage_profitable_iterations=0.5555555555555556 expected {'min': 0.7},campaigns/es_epu_policy_uncertainty_intraday/rescue_attempts/tp_min_rr_floor_rescue_1/low_epu_long_1030/config.yaml,backtest-campaigns/es_epu_policy_uncertainty_intraday/low_epu_long_1030/ES/tp_min_rr_rescue1/effective_config.yaml,backtest-campaigns/es_epu_policy_uncertainty_intraday/low_epu_long_1030/ES/tp_min_rr_rescue1,es_sierra_trade_orderflow_1m_20101214_20260610_full_rth_ny,failed,18,18,6,0.3333333333333333,10,0.5555555555555556,0,2713.125,1.233186506231199,1.0591300393714418,79.19891582592983,103,,skipped,skipped,,,,,skipped,,,,backtest-campaigns/es_epu_policy_uncertainty_intraday/low_epu_long_1030/ES/tp_min_rr_rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_fomc_pre_announcement_drift,decision_day_late_morning_long_1130,ES,1m,tp_min_rr_rescue1,FAIL,False,limited_core_grid_test,failed,limited_core_grid_test failed: summary.total_combinations_tested=4 expected {'valid_parameter_combination_count': '1 fixed combo or 8-120 tunable combos'}; summary.percentage_profitable_iterations=0.0 expected {'min': 0.7},campaigns/es_fomc_pre_announcement_drift/rescue_attempts/tp_min_rr_floor_rescue_1/decision_day_late_morning_long_1130/config.yaml,backtest-campaigns/es_fomc_pre_announcement_drift/decision_day_late_morning_long_1130/ES/tp_min_rr_rescue1/effective_config.yaml,backtest-campaigns/es_fomc_pre_announcement_drift/decision_day_late_morning_long_1130/ES/tp_min_rr_rescue1,es_sierra_trade_orderflow_1m_20101214_20260610_full_rth_ny,failed,4,4,0,0.0,0,0.0,0,-367.5,0.41434262948207173,-0.7907518045902742,8.696036434143481,11,min_total_net_profit,skipped,skipped,,,,,skipped,,,,backtest-campaigns/es_fomc_pre_announcement_drift/decision_day_late_morning_long_1130/ES/tp_min_rr_rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_footprint_absorption_initiation,rolling_range_footprint_absorption_sweep_1500,ES,1m,tp_min_rr_rescue1,FAIL,False,limited_core_grid_test,failed,limited_core_grid_test failed: summary.percentage_profitable_iterations=0.018518518518518517 expected {'min': 0.7},campaigns/es_footprint_absorption_initiation/rescue_attempts/tp_min_rr_floor_rescue_1/rolling_range_footprint_absorption_sweep_1500/config.yaml,backtest-campaigns/es_footprint_absorption_initiation/rolling_range_footprint_absorption_sweep_1500/ES/tp_min_rr_rescue1/effective_config.yaml,backtest-campaigns/es_footprint_absorption_initiation/rolling_range_footprint_absorption_sweep_1500/ES/tp_min_rr_rescue1,es_sierra_footprint_imbalance_1m_20101214_20260610_full_rth_ny,failed,54,54,0,0.0,1,0.018518518518518517,0,342.5,1.0526315789473684,0.1363597860637906,53.92095386899354,79,max_best_day_concentration,skipped,skipped,,,,,skipped,,,,backtest-campaigns/es_footprint_absorption_initiation/rolling_range_footprint_absorption_sweep_1500/ES/tp_min_rr_rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_gao_last_half_hour_orderflow_confirmation,first30_signed_flow_two_sided_1530,ES,5m,tp_min_rr_rescue1,FAIL,False,limited_core_grid_test,failed,limited_core_grid_test failed: summary.percentage_profitable_iterations=0.0 expected {'min': 0.7},campaigns/es_gao_last_half_hour_orderflow_confirmation/rescue_attempts/tp_min_rr_floor_rescue_1/first30_signed_flow_two_sided_1530/config.yaml,backtest-campaigns/es_gao_last_half_hour_orderflow_confirmation/first30_signed_flow_two_sided_1530/ES/tp_min_rr_rescue1/effective_config.yaml,backtest-campaigns/es_gao_last_half_hour_orderflow_confirmation/first30_signed_flow_two_sided_1530/ES/tp_min_rr_rescue1,es_sierra_trade_orderflow_1m_20101214_20260610_full_rth_ny,failed,12,12,0,0.0,0,0.0,0,-2172.5,0.7220089571337172,-0.49845375883933024,79.2925751780981,122,min_total_net_profit;max_consecutive_losses,skipped,skipped,,,,,skipped,,,,backtest-campaigns/es_gao_last_half_hour_orderflow_confirmation/first30_signed_flow_two_sided_1530/ES/tp_min_rr_rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_intraday_capitulation_orderflow_reversion,late_day_10m_capitulation_long_1530,ES,10m,tp_min_rr_rescue1,FAIL,False,limited_core_grid_test,failed,limited_core_grid_test failed: summary.percentage_profitable_iterations=0.0 expected {'min': 0.7},campaigns/es_intraday_capitulation_orderflow_reversion/rescue_attempts/tp_min_rr_floor_rescue_1/late_day_10m_capitulation_long_1530/config.yaml,backtest-campaigns/es_intraday_capitulation_orderflow_reversion/late_day_10m_capitulation_long_1530/ES/tp_min_rr_rescue1/effective_config.yaml,backtest-campaigns/es_intraday_capitulation_orderflow_reversion/late_day_10m_capitulation_long_1530/ES/tp_min_rr_rescue1,es_sierra_trade_orderflow_1m_20101214_20260610_full_rth_ny,failed,54,54,0,0.0,0,0.0,0,-3555.0,0.5734853029394121,-0.5790730328033644,75.52499907158683,116,min_total_net_profit;max_consecutive_losses,skipped,skipped,,,,,skipped,,,,backtest-campaigns/es_intraday_capitulation_orderflow_reversion/late_day_10m_capitulation_long_1530/ES/tp_min_rr_rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_intraday_periodicity_orderflow_confirmation,afternoon_1330_large20_confirmed_slot,ES,1m,tp_min_rr_rescue1,FAIL,False,limited_core_grid_test,failed,limited_core_grid_test failed: summary.percentage_profitable_iterations=0.0 expected {'min': 0.7},campaigns/es_intraday_periodicity_orderflow_confirmation/rescue_attempts/tp_min_rr_floor_rescue_1/afternoon_1330_large20_confirmed_slot/config.yaml,backtest-campaigns/es_intraday_periodicity_orderflow_confirmation/afternoon_1330_large20_confirmed_slot/ES/tp_min_rr_rescue1/effective_config.yaml,backtest-campaigns/es_intraday_periodicity_orderflow_confirmation/afternoon_1330_large20_confirmed_slot/ES/tp_min_rr_rescue1,es_sierra_trade_orderflow_1m_20101214_20260610_full_rth_ny,failed,54,54,0,0.0,0,0.0,0,-2131.875,0.7297147385103011,-0.4837059493181559,100.03806520637423,152,min_total_net_profit,skipped,skipped,,,,,skipped,,,,backtest-campaigns/es_intraday_periodicity_orderflow_confirmation/afternoon_1330_large20_confirmed_slot/ES/tp_min_rr_rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_intraday_periodicity_persistence,morning_1030_slot_persistence,ES,1m,tp_min_rr_rescue1,FAIL,False,limited_core_grid_test,failed,limited_core_grid_test failed: summary.percentage_profitable_iterations=0.0 expected {'min': 0.7},campaigns/es_intraday_periodicity_persistence/rescue_attempts/tp_min_rr_floor_rescue_1/morning_1030_slot_persistence/config.yaml,backtest-campaigns/es_intraday_periodicity_persistence/morning_1030_slot_persistence/ES/tp_min_rr_rescue1/effective_config.yaml,backtest-campaigns/es_intraday_periodicity_persistence/morning_1030_slot_persistence/ES/tp_min_rr_rescue1,es_sierra_trade_orderflow_1m_20101214_20260610_full_rth_ny,failed,54,54,0,0.0,0,0.0,0,-5811.25,0.6824453551912568,-0.6585185823874271,169.40217329765272,256,min_total_net_profit,skipped,skipped,,,,,skipped,,,,backtest-campaigns/es_intraday_periodicity_persistence/morning_1030_slot_persistence/ES/tp_min_rr_rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_key_reversal_orderflow_reversal,morning_signed_two_sided_key_reversal_1130,ES,1m,tp_min_rr_rescue1,FAIL,False,limited_core_grid_test,failed,limited_core_grid_test failed: summary.percentage_profitable_iterations=0.0 expected {'min': 0.7},campaigns/es_key_reversal_orderflow_reversal/rescue_attempts/tp_min_rr_floor_rescue_1/morning_signed_two_sided_key_reversal_1130/config.yaml,backtest-campaigns/es_key_reversal_orderflow_reversal/morning_signed_two_sided_key_reversal_1130/ES/tp_min_rr_rescue1/effective_config.yaml,backtest-campaigns/es_key_reversal_orderflow_reversal/morning_signed_two_sided_key_reversal_1130/ES/tp_min_rr_rescue1,es_sierra_trade_orderflow_1m_20101214_20260610_full_rth_ny,failed,18,18,0,0.0,0,0.0,0,-6697.5,0.5756375732615239,-0.6540765104183549,134.777229653196,207,min_total_net_profit;max_consecutive_losses,skipped,skipped,,,,,skipped,,,,backtest-campaigns/es_key_reversal_orderflow_reversal/morning_signed_two_sided_key_reversal_1130/ES/tp_min_rr_rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_late_day_intraday_momentum,first30_to_last30_long_only,ES,5m,tp_min_rr_rescue1,FAIL,False,limited_core_grid_test,failed,limited_core_grid_test failed: summary.percentage_profitable_iterations=0.0 expected {'min': 0.7},campaigns/es_late_day_intraday_momentum/rescue_attempts/tp_min_rr_floor_rescue_1/first30_to_last30_long_only/config.yaml,backtest-campaigns/es_late_day_intraday_momentum/first30_to_last30_long_only/ES/tp_min_rr_rescue1/effective_config.yaml,backtest-campaigns/es_late_day_intraday_momentum/first30_to_last30_long_only/ES/tp_min_rr_rescue1,es_sierra_trade_orderflow_1m_20101214_20260610_full_rth_ny,failed,9,9,0,0.0,0,0.0,0,-1070.0,0.7296272899557802,-0.4510793564252652,51.622042352824245,79,min_total_net_profit,skipped,skipped,,,,,skipped,,,,backtest-campaigns/es_late_day_intraday_momentum/first30_to_last30_long_only/ES/tp_min_rr_rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_leveraged_etf_rebalance_pressure,late_acceleration_two_sided_1530,ES,1m,tp_min_rr_rescue1,FAIL,False,limited_core_grid_test,failed,limited_core_grid_test failed: summary.percentage_profitable_iterations=0.0 expected {'min': 0.7},campaigns/es_leveraged_etf_rebalance_pressure/rescue_attempts/tp_min_rr_floor_rescue_1/late_acceleration_two_sided_1530/config.yaml,backtest-campaigns/es_leveraged_etf_rebalance_pressure/late_acceleration_two_sided_1530/ES/tp_min_rr_rescue1/effective_config.yaml,backtest-campaigns/es_leveraged_etf_rebalance_pressure/late_acceleration_two_sided_1530/ES/tp_min_rr_rescue1,es_sierra_trade_orderflow_1m_20101214_20260610_full_rth_ny,failed,27,27,0,0.0,0,0.0,0,-1287.5,0.8544786662899124,-0.5083540416814852,76.51295025457765,115,min_total_net_profit,skipped,skipped,,,,,skipped,,,,backtest-campaigns/es_leveraged_etf_rebalance_pressure/late_acceleration_two_sided_1530/ES/tp_min_rr_rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_mes_aligned_flow_continuation,afternoon60_mes_signed_1400,ES,1m,tp_min_rr_rescue1,FAIL,False,limited_core_grid_test,failed,limited_core_grid_test failed: summary.percentage_profitable_iterations=0.0 expected {'min': 0.7},campaigns/es_mes_aligned_flow_continuation/rescue_attempts/tp_min_rr_floor_rescue_1/afternoon60_mes_signed_1400/config.yaml,backtest-campaigns/es_mes_aligned_flow_continuation/afternoon60_mes_signed_1400/ES/tp_min_rr_rescue1/effective_config.yaml,backtest-campaigns/es_mes_aligned_flow_continuation/afternoon60_mes_signed_1400/ES/tp_min_rr_rescue1,es_mes_flow_divergence_1m_20190506_20260609_full_rth_ny,failed,54,54,0,0.0,0,0.0,0,-1786.25,0.8254336672367457,-0.7983196265335325,178.37742684801128,126,min_total_net_profit;max_consecutive_losses,skipped,skipped,,,,,skipped,,,,backtest-campaigns/es_mes_aligned_flow_continuation/afternoon60_mes_signed_1400/ES/tp_min_rr_rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
