variant_id,entry.params.min_volume_ratio,entry.params.reclaim_window_bars,signals,signals_per_year,latest252_signals,source_config
morning_prior_high_reject_short,1.25,1,217,14.341463414634147,16,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/stop_distance_rescue_1/morning_prior_high_reject_short/config.yaml
morning_prior_high_reject_short,1.25,2,224,14.804091266719118,16,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/stop_distance_rescue_1/morning_prior_high_reject_short/config.yaml
morning_prior_high_reject_short,1.25,3,230,15.200629425649094,17,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/stop_distance_rescue_1/morning_prior_high_reject_short/config.yaml
morning_prior_low_reclaim_long,1.25,1,250,16.522423288749017,15,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/parameter_space_rescue_1/morning_prior_low_reclaim_long/config.yaml
morning_prior_low_reclaim_long,1.25,2,264,17.44767899291896,15,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/parameter_space_rescue_1/morning_prior_low_reclaim_long/config.yaml
morning_prior_low_reclaim_long,1.25,3,268,17.712037765538945,16,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/parameter_space_rescue_1/morning_prior_low_reclaim_long/config.yaml
morning_prior_high_reject_short,0.75,1,342,22.602675059008654,22,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/stop_distance_rescue_1/morning_prior_high_reject_short/config.yaml
full_session_two_sided_reclaim,1.75,1,353,23.32966168371361,23,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/parameter_space_rescue_1/full_session_two_sided_reclaim/config.yaml
full_session_two_sided_reclaim,1.75,2,360,23.792289535798584,24,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/parameter_space_rescue_1/full_session_two_sided_reclaim/config.yaml
morning_prior_high_reject_short,0.75,2,361,23.85837922895358,25,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/stop_distance_rescue_1/morning_prior_high_reject_short/config.yaml
morning_prior_low_reclaim_long,0.75,1,365,24.122738001573563,23,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/parameter_space_rescue_1/morning_prior_low_reclaim_long/config.yaml
full_session_two_sided_reclaim,1.75,3,369,24.387096774193548,25,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/parameter_space_rescue_1/full_session_two_sided_reclaim/config.yaml
morning_prior_high_reject_short,0.75,3,379,25.047993705743508,26,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/stop_distance_rescue_1/morning_prior_high_reject_short/config.yaml
morning_prior_low_reclaim_long,0.75,2,389,25.708890637293468,24,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/parameter_space_rescue_1/morning_prior_low_reclaim_long/config.yaml
morning_prior_high_reject_short,0.0,1,401,26.50196695515342,25,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/stop_distance_rescue_1/morning_prior_high_reject_short/config.yaml
morning_prior_low_reclaim_long,0.75,3,402,26.568056648308417,26,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/parameter_space_rescue_1/morning_prior_low_reclaim_long/config.yaml
morning_prior_high_reject_short,0.0,2,427,28.22029897718332,28,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/stop_distance_rescue_1/morning_prior_high_reject_short/config.yaml
morning_prior_high_reject_short,0.0,3,450,29.740361919748228,29,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/stop_distance_rescue_1/morning_prior_high_reject_short/config.yaml
full_session_two_sided_reclaim,1.25,1,630,41.63650668764752,39,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/parameter_space_rescue_1/full_session_two_sided_reclaim/config.yaml
full_session_two_sided_reclaim,1.25,2,665,43.94964594807238,40,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/parameter_space_rescue_1/full_session_two_sided_reclaim/config.yaml
full_session_two_sided_reclaim,1.25,3,676,44.676632572777336,42,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/parameter_space_rescue_1/full_session_two_sided_reclaim/config.yaml
full_session_two_sided_reclaim,0.75,1,966,63.8426435877262,60,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/parameter_space_rescue_1/full_session_two_sided_reclaim/config.yaml
full_session_two_sided_reclaim,0.75,2,1029,68.00629425649095,67,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/parameter_space_rescue_1/full_session_two_sided_reclaim/config.yaml
full_session_two_sided_reclaim,0.75,3,1073,70.91424075531077,70,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/parameter_space_rescue_1/full_session_two_sided_reclaim/config.yaml
